a,atang
0.124177,-0.124177
0.10822460867634917,-0.07135301739213971
0.08555373908461428,-0.03767224749210283
0.06416597436031671,-0.018030686407042213
0.05206289763897811,-0.007324330244110836
0.05724609205611994,-0.00044917511046158737
0.08766526866869642,0.00767742804652731
0.14397157497899973,0.019133435525902798
0.21205531013202,0.029920016905101095
0.2761158766535631,0.03536543206410976
0.3250504643556134,0.03394613654353445
0.3546672430549843,0.02876994016556601
0.3616327998314213,0.02324960630330458
0.3507074962218538,0.019053930758059005
0.33539108637883447,0.015968630256050775
0.32892698058092856,0.013690368302268493
0.33372275038124016,0.011987745255555023
0.34358252004539974,0.01068647795146009
0.3525023706570607,0.009622514078504217
0.3588167395461001,0.008719363677415989
0.3633791256197071,0.00795137976828014
0.3669547790051921,0.007294418527168162
0.36949108824837223,0.006730348753567664
0.37059238775734793,0.006243561257277165
0.3700542235235278,0.005819227505572549
0.36859052740411813,0.005446204387400056
0.3671889257971921,0.005114448326139776
0.36659760895538845,0.004820043870158404
0.366761298816738,0.004579634857877847
0.3674564894086663,0.0044141189159591565
0.3684842789010113,0.00432889865429238
0.3697044232106302,0.004292435636068795
0.3709876110955918,0.004267960359413224
0.37239759756497753,0.00423140514678715
0.37433063850182746,0.004180577545714313
0.3772151919121076,0.0041156053003984115
0.38145527753924585,0.004042327805191045
0.3874241357120053,0.00397377814294923
0.3954220911434516,0.003922654234852888
0.40432262184076695,0.0038856897834961364
0.4116777666756786,0.003844833621368067
0.4156169267673601,0.0037851707995410896
0.4221049618876566,0.0037379321095122667
0.4424329399603951,0.003765716234528714
0.4845085497950944,0.003910603132327172
0.5273492731682828,0.004039614034614494
0.5356877074762942,0.0039332116497118996
0.474154925118202,0.003371243500432927
0.3073819984930795,0.002133557109591115
0.0,0.0
